"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"58","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Heat","Movie-Toy Story","Movie-The American President","Movie-Tom And Huck","Movie-GoldenEye","Movie-Jumanji","Movie-Toy Story","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-2","CustCat_ValuableCust"
"59","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-SuddenDeath","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Jumanji","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_ValuableCust"
"60","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Sabrina","Movie-The American President","Movie-Jumanji","Movie-Nixon","Movie-The American President","Movie-Grumpier Old Men","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Balto","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-3","CustCat_ValuableCust"
"61","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-The American President","Movie-Father of the Bride Part II","Movie-Tom And Huck","Movie-The American President","Movie-Grumpier Old Men","Movie-The American President","Movie-Grumpier Old Men","Movie-Nixon","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-1","CustCat_ValuableCust"
"62","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Nixon","Movie-Nixon","Movie-Grumpier Old Men","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_ValuableCust"
"63","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Balto","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-2","CustCat_ValuableCust"
"64","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Nixon","Movie-Nixon","Movie-GoldenEye","Movie-Sabrina","Movie-Sabrina","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_ValuableCust"
"65","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Single","Movie-The American President","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-The American President","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Heat","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_ValuableCust"
"66","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Tom And Huck","Movie-Nixon","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-SuddenDeath","Movie-Sabrina","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-1","CustCat_ValuableCust"
"67","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Single","Movie-Jumanji","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Balto","Movie-Sabrina","Movie-GoldenEye","Movie-Father of the Bride Part II","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-3","CustCat_ValuableCust"
"68","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Single","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-GoldenEye","Movie-SuddenDeath","Movie-The American President","Movie-GoldenEye","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-2","CustCat_ValuableCust"
"69","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Balto","Movie-Tom And Huck","Movie-Heat","Movie-Toy Story","Movie-Jumanji","Movie-Jumanji","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_ValuableCust"
"70","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-The American President","Movie-The American President","Movie-Sabrina","Movie-Grumpier Old Men","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_ValuableCust"
"71","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Toy Story","Movie-Nixon","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Tom And Huck","Movie-Nixon","Movie-GoldenEye","Movie-Balto","Movie-Nixon","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_ValuableCust"
"72","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Heat","Movie-Jumanji","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_ValuableCust"
"73","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Sabrina","Movie-Heat","Movie-Father of the Bride Part II","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-SuddenDeath","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_ValuableCust"
"74","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Single","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Balto","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Jumanji","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_ValuableCust"
"75","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Joint","Movie-Heat","Movie-Tom And Huck","Movie-Nixon","Movie-Jumanji","Movie-GoldenEye","Movie-Sabrina","Movie-GoldenEye","Movie-GoldenEye","Movie-SuddenDeath","Movie-GoldenEye","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-2","CustCat_ValuableCust"
"76","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Heat","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-2","CustCat_ValuableCust"
"77","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Balto","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Grumpier Old Men","Movie-SuddenDeath","Movie-Balto","Movie-The American President","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-2","CustCat_ValuableCust"
"78","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Movie-Sabrina","Movie-Balto","Movie-Heat","Movie-GoldenEye","Movie-Father of the Bride Part II","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_ValuableCust"
"79","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-GoldenEye","Movie-Toy Story","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Heat","Movie-The American President","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_ValuableCust"
"80","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-GoldenEye","Movie-Nixon","Movie-Grumpier Old Men","Movie-The American President","Movie-SuddenDeath","Movie-Heat","Movie-Heat","Movie-GoldenEye","Movie-Heat","Movie-Sabrina","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-1","CustCat_ValuableCust"
"81","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-Toy Story","Movie-Toy Story","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Heat","Movie-The American President","Movie-Toy Story","Movie-Tom And Huck","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-1","CustCat_ValuableCust"
"82","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Single","Movie-Sabrina","Movie-Sabrina","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-The American President","Movie-Sabrina","Movie-Sabrina","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_ValuableCust"
"83","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-Sabrina","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Balto","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-GoldenEye","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_ValuableCust"
"84","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Balto","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-SuddenDeath","Movie-Jumanji","Movie-Waiting to Exhale","Movie-The American President","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_ValuableCust"
"85","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Sabrina","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_ValuableCust"
"86","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Jumanji","Movie-Nixon","Movie-Jumanji","Movie-Jumanji","Movie-Tom And Huck","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_ValuableCust"
"87","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Heat","Movie-Sabrina","Movie-Tom And Huck","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-1","CustCat_ValuableCust"
"88","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Sabrina","Movie-Waiting to Exhale","Movie-The American President","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-4","CustCat_ValuableCust"
"89","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-79","Movie-145","Movie-164","Movie-195","Movie-63","Movie-23","Movie-90","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"90","Gender-F","IsMarried-Y","IsPremiumCust-N","City-NOIDA","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-146","Movie-114","Movie-165","Movie-165","Movie-187","Movie-129","Movie-129","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"91","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-CHENNAI","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-93","Movie-182","Movie-105","Movie-177","Movie-138","Movie-80","Movie-136","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-1","CustCat_FirstTimers"
"92","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-74","Movie-74","Movie-174","Movie-120","Movie-72","Movie-54","Movie-73","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"93","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-143","Movie-20","Movie-29","Movie-194","Movie-17","Movie-37","Movie-199","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-1","CustCat_FirstTimers"
"94","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-155","Movie-33","Movie-101","Movie-145","Movie-62","Movie-110","Movie-35","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"95","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-109","Movie-167","Movie-80","Movie-21","Movie-24","Movie-33","Movie-178","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"96","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-HYDERABAD","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-107","Movie-129","Movie-146","Movie-119","Movie-19","Movie-132","Movie-101","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"97","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-36","Movie-146","Movie-149","Movie-53","Movie-164","Movie-125","Movie-107","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_FirstTimers"
"98","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-55","Movie-171","Movie-199","Movie-163","Movie-44","Movie-177","Movie-157","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_FirstTimers"
"99","Gender-M","IsMarried-Y","IsPremiumCust-N","City-BANGALORE","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-185","Movie-162","Movie-38","Movie-155","Movie-148","Movie-122","Movie-139","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-3","CustCat_FirstTimers"
"100","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-Cutthroat Island","Movie-200","Movie-173","Movie-99","Movie-139","Movie-121","Movie-Cutthroat Island","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_FirstTimers"
"101","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-57","Movie-186","Movie-176","Movie-39","Movie-101","Movie-141","Movie-186","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-3","CustCat_FirstTimers"
"102","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-NOIDA","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-45","Movie-68","Movie-120","Movie-178","Movie-83","Movie-28","Movie-158","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-1","CustCat_FirstTimers"
"103","Gender-F","IsMarried-Y","IsPremiumCust-N","City-NOIDA","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-91","Movie-43","Movie-29","Movie-91","Movie-91","Movie-111","Movie-131","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-3","CustCat_FirstTimers"
"104","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-198","Movie-124","Movie-42","Movie-89","Movie-190","Movie-119","Movie-37","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"105","Gender-M","IsMarried-N","IsPremiumCust-Y","City-BANGALORE","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-28","Movie-125","Movie-159","Movie-88","Movie-152","Movie-47","Movie-114","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"106","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Toy Story","Movie-Toy Story","Movie-154","Movie-73","Movie-29","Movie-169","Movie-108","Movie-37","Movie-56","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_FirstTimers"
"107","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-58","Movie-60","Movie-22","Movie-64","Movie-163","Movie-33","Movie-42","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_FirstTimers"
"108","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-38","Movie-25","Movie-109","Movie-50","Movie-126","Movie-108","Movie-180","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"109","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-158","Movie-135","Movie-69","Movie-58","Movie-149","Movie-192","Movie-104","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-1","CustCat_FirstTimers"
"110","Gender-F","IsMarried-Y","IsPremiumCust-N","City-CHENNAI","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-99","Movie-84","Movie-62","Movie-141","Movie-136","Movie-46","Movie-172","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-1","CustCat_FirstTimers"
"111","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-99","Movie-52","Movie-74","Movie-152","Movie-149","Movie-145","Movie-194","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_FirstTimers"
"112","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-27","Movie-61","Movie-45","Movie-183","Movie-186","Movie-138","Movie-122","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"113","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-HYDERABAD","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-151","Movie-104","Movie-60","Movie-57","Movie-144","Movie-65","Movie-189","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-3","CustCat_FirstTimers"
"114","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-CHENNAI","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-101","Movie-114","Movie-153","Movie-137","Movie-87","Movie-61","Movie-89","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"115","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-BANGALORE","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-158","Movie-53","Movie-98","Movie-23","Movie-57","Movie-38","Movie-192","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"116","Gender-F","IsMarried-N","IsPremiumCust-N","City-HYDERABAD","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-103","Movie-127","Movie-159","Movie-107","Movie-37","Movie-29","Movie-197","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_FirstTimers"
"117","Gender-M","IsMarried-N","IsPremiumCust-N","City-NOIDA","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-66","Movie-94","Movie-188","Movie-35","Movie-155","Movie-97","Movie-135","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_FirstTimers"
